FIPS,Total_Juvenile_Arrests
36027,129.0
36029,825.0
36031,27.0
36033,62.0
36035,56.0
36037,35.0
36039,49.0
36041,2.5
36043,57.0
36045,73.0
36047,498.0
36049,18.5
36051,49.0
36053,77.0
36055,447.0
36057,50.0
36059,559.0
36061,1673.0
36063,234.0
36065,422.0
36067,647.5
36069,99.0
36071,209.0
36073,54.0
36075,111.0
36077,32.0
36079,36.0
36081,292.0
36083,156.0
36085,78.0
36087,100.0
36089,103.0
36091,115.0
36093,161.0
36095,32.5
36097,20.5
36099,40.5
36101,62.0
36103,429.0
36105,57.0
36107,41.0
36109,88.0
36111,120.0
36113,43.0
36115,19.0
36117,106.0
36119,450.0
36121,21.0
36123,12.5
37001,324.0
37003,103.5
37005,35.5
37007,45.5
37009,37.0
37011,59.0
37013,101.0
37015,17.5
37017,14.5
37019,106.5
37021,415.0
37023,197.0
37025,175.0
37027,187.0
37029,10.0
37031,42.5
37033,44.0
37035,360.0
37037,73.5
37039,48.0
37041,26.5
37043,19.5
37045,249.0
37047,87.0
37049,164.0
37051,709.5
37053,57.0
37055,92.0
37057,323.0
37059,107.0
37061,85.0
37063,217.0
37065,53.0
37067,691.0
37069,30.0
37071,503.0
37073,11.0
37075,19.0
37077,45.0
37079,31.0
37081,719.0
37083,119.0
37085,176.5
37087,141.0
37089,220.0
37091,16.5
37093,125.0
37095,5.0
37097,322.0
37099,104.0
37101,208.5
37103,21.5
37105,184.0
37107,63.5
37109,136.0
37111,92.0
37113,84.0
37115,25.0
37117,124.0
37119,1481.0
37121,34.0
37123,41.0
37125,109.5
37127,87.5
37129,182.5
37131,18.0
37133,341.0
37135,111.0
37137,17.5
37139,107.5
37141,68.0
37143,13.5
37145,110.0
37147,313.5
37149,30.5
37151,202.0
37153,123.0
37155,267.0
37157,171.0
37159,163.5
37161,95.0
37163,105.0
37165,97.5
37167,36.5
37169,97.0
37171,171.0
37173,41.0
37175,55.0
37177,11.0
37179,330.0
37181,94.0
37183,696.0
37185,28.0
37187,12.0
37189,35.5
37191,84.0
37193,158.0
37195,143.5
37197,67.5
37199,24.5
39001,75.0
39003,381.0
39005,194.0
39007,585.0
39009,155.0
39011,238.0
39013,250.0
39015,141.0
39017,1408.0
39019,33.5
39021,484.0
39023,1103.0
39025,566.0
39027,527.0
39029,242.0
39031,72.0
39033,309.0
39035,3441.0
39037,359.0
39039,254.0
39041,497.0
39043,1053.0
39045,367.0
39047,344.0
39049,5001.0
39051,176.0
39053,126.0
39055,228.0
39057,549.0
39059,215.0
39061,6430.0
39063,245.0
39065,154.0
39067,68.0
39069,103.0
39071,187.0
